Source: GIS_&_Timeseries_Tool weather year 2012; usable coordinates,,,,,,,,,
HOUR,California,ERCOT,MISO,NewEngland,NewYork,PJM,SERC,WECC,Canada
3477,0.9309666666666666,0.6373235294117647,0.2142454545454545,0.5889105263157894,0.2601,0.4549493150684932,0.1372007575757576,0.38096,0.5990452054794521
3478,0.9776333333333334,0.7094882352941176,0.22436,0.6254894736842105,0.2314,0.4432493150684931,0.1427159090909091,0.40554,0.6269191780821918
3479,0.9434,0.6248382352941176,0.1899218181818182,0.3714210526315789,0.05148,0.3790315068493151,0.0950931818181818,0.3215,0.6335547945205479
3480,0.8651666666666666,0.691914705882353,0.2111672727272727,0.4161526315789474,0.04044,0.3566424657534247,0.087375,0.28684,0.6544602739726026
3481,0.8147666666666668,0.7514529411764705,0.2543145454545454,0.4847210526315789,0.07998,0.3285438356164383,0.0784643939393939,0.2570199999999999,0.6560904109589041
3482,0.7982666666666667,0.7977470588235294,0.2977709090909091,0.5555052631578947,0.1170399999999999,0.3003520547945205,0.0718651515151515,0.23974,0.6604589041095891
3483,0.8135333333333333,0.8261676470588235,0.3035054545454546,0.5499105263157894,0.11346,0.355917808219178,0.0817643939393939,0.1998,0.6686890410958904
3484,0.7418999999999999,0.8310470588235295,0.2828236363636363,0.523621052631579,0.0907,0.4370205479452054,0.0930590909090909,0.1538,0.6679369863013699
3485,0.6550666666666667,0.8472470588235295,0.27396,0.5263052631578947,0.0725,0.4713301369863014,0.102825,0.1125799999999999,0.6775794520547945
3486,0.6246666666666666,0.8591176470588235,0.2644454545454545,0.4846736842105263,0.07396,0.4677547945205479,0.1108196969696969,0.07852,0.6787205479452054
3487,0.5948666666666668,0.8473264705882353,0.2564072727272727,0.4357631578947368,0.08154,0.4589657534246575,0.1072151515151515,0.04896,0.6799424657534247
3488,0.4590666666666667,0.8074705882352942,0.2204254545454545,0.4644421052631579,0.10382,0.4422780821917808,0.1083295454545454,0.03624,0.6930150684931506
3489,0.3515666666666666,0.7358441176470588,0.1739581818181818,0.4933631578947368,0.11808,0.449476712328767,0.1140818181818181,0.02892,0.6936520547945205
3490,0.3469666666666666,0.622929411764706,0.1220490909090909,0.4937526315789473,0.12738,0.4674972602739726,0.1242416666666666,0.0205799999999999,0.6991602739726027
3491,0.2831666666666667,0.3941029411764706,0.0956327272727272,0.4313263157894736,0.0858,0.454972602739726,0.1085537878787878,0.0016399999999999,0.6920917808219178
3492,0.2132333333333333,0.3340441176470588,0.0871509090909091,0.4309947368421052,0.1124,0.4774575342465753,0.1282765151515151,0.0064399999999999,0.6933178082191781
3493,0.2214333333333333,0.2566764705882353,0.0997690909090909,0.4088105263157895,0.13136,0.4945479452054794,0.1472484848484848,0.01136,0.6940630136986302
3494,0.2326333333333333,0.203435294117647,0.1067272727272727,0.3852526315789473,0.14696,0.5053821917808219,0.1643545454545454,0.00924,0.6852095890410959
3495,0.2196666666666666,0.167635294117647,0.1102818181818181,0.3828210526315789,0.1686399999999999,0.500304109589041,0.1784454545454545,0.0078,0.6948616438356164
3496,0.1862666666666666,0.160935294117647,0.1165381818181818,0.4382684210526316,0.20724,0.4997328767123287,0.192060606060606,0.0035,0.705195890410959
3497,0.2067999999999999,0.1972058823529411,0.1292163636363636,0.4547368421052631,0.23954,0.4933506849315068,0.2010689393939393,0.00148,0.7136835616438356
3498,0.2616,0.2745941176470588,0.1294563636363636,0.4848736842105263,0.28016,0.4822698630136986,0.2117098484848484,0.0,0.7218013698630137
3499,0.3374,0.3595323529411764,0.1265945454545454,0.5341947368421053,0.36002,0.4871821917808219,0.2315378787878788,0.00138,0.7201164383561643
3500,0.3951,0.4044823529411764,0.12412,0.5770578947368421,0.43064,0.495745205479452,0.2682378787878788,0.0213,0.698772602739726
3501,0.4425999999999999,0.4260970588235294,0.1295436363636363,0.6245421052631579,0.4707599999999999,0.5033945205479452,0.3197537878787879,0.04554,0.6842410958904109
3502,0.4686333333333333,0.4290117647058823,0.1271981818181818,0.6447052631578947,0.45836,0.5183383561643836,0.3704280303030303,0.05816,0.6888657534246575
3503,0.3853333333333333,0.3708088235294117,0.0884472727272727,0.4528736842105263,0.31582,0.4362465753424657,0.3798742424242424,0.08156,0.6182616438356164
3504,0.4096333333333333,0.4071264705882353,0.0951563636363636,0.4829842105263158,0.3553199999999999,0.4591972602739726,0.3777787878787879,0.10676,0.6319328767123287
3505,0.3803,0.4395088235294118,0.0936309090909091,0.4987263157894737,0.2302,0.4998287671232876,0.3555083333333333,0.11444,0.6402424657534246
3506,0.3833666666666667,0.4963205882352941,0.1001054545454545,0.5139684210526315,0.179,0.544186301369863,0.3437090909090909,0.12318,0.6208712328767123
3507,0.3283,0.5444911764705882,0.1055418181818181,0.5109105263157895,0.26636,0.5840945205479452,0.3410068181818182,0.1006999999999999,0.5752013698630137
3508,0.2282666666666667,0.583614705882353,0.1147854545454545,0.4628894736842105,0.3939,0.6029178082191781,0.349294696969697,0.07892,0.5526232876712328
3509,0.1807666666666666,0.5881617647058823,0.1166036363636363,0.4159947368421052,0.38566,0.5946205479452055,0.3554787878787879,0.0684,0.5117191780821918
3510,0.152,0.5888205882352942,0.1198127272727272,0.4491105263157894,0.35496,0.5597643835616438,0.3687424242424242,0.07896,0.4796876712328767
3511,0.1468,0.5982088235294117,0.1072163636363636,0.4835526315789473,0.2860399999999999,0.5062232876712329,0.3828151515151515,0.08284,0.465958904109589
3512,0.1379333333333333,0.6155294117647059,0.0984818181818181,0.4496315789473684,0.20884,0.4456972602739725,0.3983848484848484,0.0800999999999999,0.4483999999999999
3513,0.1246666666666666,0.5861529411764707,0.0886981818181818,0.3819421052631579,0.17772,0.3903561643835616,0.4102113636363636,0.0948,0.414513698630137
3514,0.1245,0.4948058823529411,0.0762854545454545,0.3043210526315789,0.15358,0.3277438356164384,0.4176469696969697,0.1097799999999999,0.3771082191780822
3515,0.0954333333333333,0.4103647058823529,0.0812981818181818,0.1811105263157894,0.0385,0.2602041095890411,0.4311090909090909,0.15176,0.3342123287671233
3516,0.0936333333333333,0.3696558823529412,0.0577054545454545,0.1522473684210526,0.0756,0.2389219178082191,0.4452098484848484,0.16182,0.2930328767123288
3517,0.0780666666666666,0.3306529411764706,0.0462763636363636,0.1178473684210526,0.08238,0.2239164383561644,0.4527613636363636,0.1575,0.2459205479452055
3518,0.0724333333333333,0.2660176470588236,0.0348163636363636,0.0821578947368421,0.0544799999999999,0.2209821917808219,0.4588333333333333,0.1392,0.2087054794520547
3519,0.0794333333333333,0.2121382352941176,0.0225927272727272,0.0626947368421052,0.01012,0.2141684931506849,0.4690772727272727,0.1169,0.1830767123287671
3520,0.0678,0.1771264705882352,0.0159454545454545,0.0439526315789473,0.0,0.2218260273972603,0.4719575757575757,0.1286,0.1698136986301369
3521,0.0458999999999999,0.1708882352941176,0.0102727272727272,0.0204368421052631,0.0,0.2582657534246575,0.4646219696969697,0.14668,0.1788931506849315
3522,0.0334,0.1786529411764706,0.00502,0.0069157894736842,0.0,0.2990493150684931,0.4579507575757576,0.16284,0.1969712328767123
3523,0.0463,0.189285294117647,0.0030981818181818,0.0177526315789473,0.0,0.3429698630136986,0.4610492424242424,0.17482,0.2086890410958904
3524,0.0566,0.213485294117647,0.0032727272727272,0.0443736842105263,0.0,0.3772602739726027,0.4783727272727273,0.18386,0.2035
3525,0.0616,0.2385588235294118,0.00506,0.0603368421052631,0.0003599999999999,0.4293136986301369,0.4891083333333332,0.1992,0.1914917808219178
3526,0.0853999999999999,0.2521941176470588,0.0074745454545454,0.0693263157894736,0.02138,0.4425904109589041,0.4953030303030302,0.2109599999999999,0.1800397260273972
3527,0.0898666666666666,0.1980264705882353,0.0043981818181818,0.0803315789473684,0.1746599999999999,0.3787575342465753,0.4494454545454545,0.1308,0.1768698630136986
3528,0.1027666666666666,0.186,0.0054781818181818,0.0752684210526315,0.16748,0.4278931506849315,0.4559227272727273,0.13682,0.1740575342465753
3529,0.084,0.1941029411764706,0.0077927272727272,0.0734105263157894,0.20126,0.4372397260273973,0.4656863636363636,0.1356599999999999,0.1543671232876712
3530,0.0758333333333333,0.2180088235294117,0.0115236363636363,0.0863263157894737,0.22934,0.4283123287671233,0.4572863636363636,0.1326,0.1254397260273972
3531,0.0666,0.2568764705882353,0.0179163636363636,0.1114263157894736,0.27026,0.3846205479452055,0.4480568181818182,0.11284,0.1129780821917808
3532,0.0608333333333333,0.3181088235294118,0.0242927272727272,0.1562421052631578,0.36272,0.3542616438356164,0.4306568181818181,0.0676,0.1163972602739726
3533,0.0581,0.3688411764705882,0.0314272727272727,0.2485368421052631,0.4252399999999999,0.3636095890410959,0.467494696969697,0.04026,0.1193630136986301
3534,0.0654,0.4050764705882353,0.035590909090909,0.3045578947368421,0.4000199999999999,0.4064520547945205,0.5027469696969697,0.0216,0.1143260273972602
3535,0.0827,0.4269882352941176,0.0397236363636363,0.2756526315789473,0.37104,0.4686027397260274,0.5308,0.01014,0.1074164383561643
